message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ;;;;message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
51;3.08201;0.000000;0.803764;2.130313;0.437536;2.249076;2.178140;0.015701;;;;51;3.08201;0.000000;0.803764;2.130313;0.437536;2.249076;2.178140;0.015701
52;3.14202;0.000000;0.804034;2.128519;0.437542;2.249128;2.178086;0.015701;;;;52;3.14202;0.000000;0.804034;2.128519;0.437542;2.249128;2.178086;0.015701
53;3.20197;0.000000;0.804282;2.126829;0.437548;2.249085;2.178129;0.015700;;;;53;3.20197;0.000000;0.804282;2.126829;0.437548;2.249085;2.178129;0.015700
54;3.26199;0.000000;0.804508;2.125190;0.437555;2.249025;2.178190;0.015699;;;;54;3.26199;0.000000;0.804508;2.125190;0.437555;2.249025;2.178190;0.015699
55;3.32192;0.000000;0.804709;2.123629;0.437556;2.248997;2.178217;0.015699;;;;55;3.32192;0.000000;0.804709;2.123629;0.437556;2.248997;2.178217;0.015699
56;3.38205;0.000000;0.804928;2.122112;0.437557;2.248963;2.178251;0.015698;;;;56;3.38205;0.000000;0.804928;2.122112;0.437557;2.248963;2.178251;0.015698
57;3.44205;0.000000;0.805151;2.120603;0.437562;2.248977;2.178235;0.015698;;;;57;3.44205;0.000000;0.805151;2.120603;0.437562;2.248977;2.178235;0.015698
58;3.50203;0.000000;0.805335;2.119119;0.437570;2.248994;2.178217;0.015698;;;;58;3.50203;0.000000;0.805335;2.119119;0.437570;2.248994;2.178217;0.015698
59;3.5622;0.000000;0.805524;2.117705;0.437576;2.248996;2.178214;0.015698;;;;59;3.5622;0.000000;0.805524;2.117705;0.437576;2.248996;2.178214;0.015698
60;3.62213;0.000000;0.805714;2.116334;0.437576;2.248979;2.178230;0.015697;;;;60;3.62213;0.000000;0.805714;2.116334;0.437576;2.248979;2.178230;0.015697
61;3.68603;0.000000;0.805918;2.115025;0.437582;2.248922;2.178288;0.015697;;;;61;3.68603;0.000000;0.805918;2.115025;0.437582;2.248922;2.178288;0.015697
62;3.74605;0.000000;0.806087;2.113680;0.437583;2.249015;2.178192;0.015697;;;;62;3.74605;0.000000;0.806087;2.113680;0.437583;2.249015;2.178192;0.015697
63;3.80597;0.000000;0.806262;2.112431;0.437589;2.249024;2.178181;0.015697;;;;63;3.80597;0.000000;0.806262;2.112431;0.437589;2.249024;2.178181;0.015697
64;3.86597;0.000000;0.806426;2.111172;0.437590;2.249068;2.178136;0.015697;;;;64;3.86597;0.000000;0.806426;2.111172;0.437590;2.249068;2.178136;0.015697
65;3.92594;0.000000;0.806564;2.109975;0.437597;2.249071;2.178131;0.015697;;;;65;3.92594;0.000000;0.806564;2.109975;0.437597;2.249071;2.178131;0.015697
66;3.98612;0.000000;0.806742;2.108795;0.437609;2.249074;2.178170;0.015741;;;;66;3.98612;0.000000;0.806742;2.108795;0.437609;2.249074;2.178170;0.015741
67;4.04628;0.000000;0.806893;2.107641;0.437609;2.249081;2.178183;0.015763;;;;67;4.04628;0.000000;0.806893;2.107641;0.437609;2.249081;2.178183;0.015763
68;4.10612;0.000000;0.807014;2.106522;0.437617;2.249056;2.178228;0.015785;;;;68;4.10612;0.000000;0.807014;2.106522;0.437617;2.249056;2.178228;0.015785
69;4.16616;0.000000;0.807154;2.105394;0.437624;2.249080;2.178203;0.015785;;;;69;4.16616;0.000000;0.807154;2.105394;0.437624;2.249080;2.178203;0.015785
70;4.22599;0.000000;0.807301;2.104319;0.437624;2.249108;2.178194;0.015807;;;;70;4.22599;0.000000;0.807301;2.104319;0.437624;2.249108;2.178194;0.015807
71;4.28601;0.000000;0.807434;2.103331;0.437619;2.249077;2.178225;0.015807;;;;71;4.28601;0.000000;0.807434;2.103331;0.437619;2.249077;2.178225;0.015807
72;4.34615;0.000000;0.807559;2.102334;0.437620;2.249080;2.178221;0.015807;;;;72;4.34615;0.000000;0.807559;2.102334;0.437620;2.249080;2.178221;0.015807
73;4.40608;0.000000;0.807694;2.101372;0.437620;2.249040;2.178262;0.015807;;;;73;4.40608;0.000000;0.807694;2.101372;0.437620;2.249040;2.178262;0.015807
74;4.46602;0.000000;0.807825;2.100436;0.437621;2.249062;2.178238;0.015807;;;;74;4.46602;0.000000;0.807825;2.100436;0.437621;2.249062;2.178238;0.015807
75;4.52599;0.000000;0.807938;2.099527;0.437622;2.249075;2.178224;0.015807;;;;75;4.52599;0.000000;0.807938;2.099527;0.437622;2.249075;2.178224;0.015807
76;4.58599;0.000000;0.808051;2.098635;0.437623;2.249103;2.178195;0.015807;;;;76;4.58599;0.000000;0.808051;2.098635;0.437623;2.249103;2.178195;0.015807
77;4.65107;0.000000;0.808155;2.097760;0.437631;2.249096;2.178201;0.015807;;;;77;4.65107;0.000000;0.808155;2.097760;0.437631;2.249096;2.178201;0.015807
78;4.70616;0.000000;0.808261;2.096868;0.437632;2.249088;2.178208;0.015807;;;;78;4.70616;0.000000;0.808261;2.096868;0.437632;2.249088;2.178208;0.015807
79;4.76625;0.000000;0.808376;2.096010;0.437633;2.249108;2.178188;0.015807;;;;79;4.76625;0.000000;0.808376;2.096010;0.437633;2.249108;2.178188;0.015807
80;4.82606;0.000000;0.808502;2.095170;0.437639;2.249094;2.178201;0.015807;;;;80;4.82606;0.000000;0.808502;2.095170;0.437639;2.249094;2.178201;0.015807
81;4.88605;0.000000;0.808583;2.094365;0.437641;2.249084;2.178211;0.015807;;;;81;4.88605;0.000000;0.808583;2.094365;0.437641;2.249084;2.178211;0.015807
82;4.94608;0.000000;0.808667;2.093631;0.437643;2.249082;2.178212;0.015806;;;;82;4.94608;0.000000;0.808667;2.093631;0.437643;2.249082;2.178212;0.015806
83;5.00596;0.000000;0.808743;2.092897;0.437645;2.249116;2.178177;0.015807;;;;83;5.00596;0.000000;0.808743;2.092897;0.437645;2.249116;2.178177;0.015807
84;5.06601;0.000000;0.808827;2.092181;0.437647;2.249116;2.178176;0.015807;;;;84;5.06601;0.000000;0.808827;2.092181;0.437647;2.249116;2.178176;0.015807
85;5.12604;0.000000;0.808903;2.091490;0.437650;2.249155;2.178135;0.015807;;;;85;5.12604;0.000000;0.808903;2.091490;0.437650;2.249155;2.178135;0.015807
86;5.18609;0.000000;0.808978;2.090809;0.437646;2.249100;2.178191;0.015806;;;;86;5.18609;0.000000;0.808978;2.090809;0.437646;2.249100;2.178191;0.015806
87;5.24603;0.000000;0.809041;2.090145;0.437649;2.249119;2.178172;0.015806;;;;87;5.24603;0.000000;0.809041;2.090145;0.437649;2.249119;2.178172;0.015806
88;5.306;0.000000;0.809103;2.089490;0.437657;2.249114;2.178176;0.015806;;;;88;5.306;0.000000;0.809103;2.089490;0.437657;2.249114;2.178176;0.015806
89;5.36604;0.000000;0.809198;2.088861;0.437658;2.249149;2.178140;0.015807;;;;89;5.36604;0.000000;0.809198;2.088861;0.437658;2.249149;2.178140;0.015807
90;5.42603;0.000000;0.809257;2.088285;0.437667;2.249070;2.178220;0.015806;;;;90;5.42603;0.000000;0.809257;2.088285;0.437667;2.249070;2.178220;0.015806
91;5.48603;0.000000;0.809323;2.087683;0.437668;2.249092;2.178190;0.015770;;;;91;5.48603;0.000000;0.809323;2.087683;0.437668;2.249092;2.178190;0.015770
92;5.54623;0.000000;0.809406;2.087115;0.437675;2.249038;2.178244;0.015769;;;;92;5.54623;0.000000;0.809406;2.087115;0.437675;2.249038;2.178244;0.015769
93;5.61256;0.000000;0.809456;2.086566;0.437678;2.249094;2.178187;0.015770;;;;93;5.61256;0.000000;0.809456;2.086566;0.437678;2.249094;2.178187;0.015770
94;5.66804;0.000000;0.809498;2.086034;0.437676;2.249080;2.178201;0.015769;;;;94;5.66804;0.000000;0.809498;2.086034;0.437676;2.249080;2.178201;0.015769
95;5.73202;0.000000;0.809539;2.085503;0.437680;2.249137;2.178141;0.015770;;;;95;5.73202;0.000000;0.809539;2.085503;0.437680;2.249137;2.178141;0.015770
96;5.79206;0.000000;0.809594;2.085006;0.437677;2.249092;2.178188;0.015769;;;;96;5.79206;0.000000;0.809594;2.085006;0.437677;2.249092;2.178188;0.015769
