message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
109;6.55994;0.000000;0.675302;2.093851;0.259441;1.298336;-1.459108;0.222654
110;6.61994;0.000000;0.677396;2.094513;0.259877;1.300865;-1.471289;0.226772
111;6.68193;0.000000;0.679542;2.095126;0.260404;1.303017;-1.484220;0.229882
112;6.74189;0.000000;0.681654;2.095804;0.260991;1.305194;-1.496845;0.233453
113;6.80192;0.000000;0.683733;2.096470;0.261643;1.307193;-1.509778;0.236796
114;6.86193;0.000000;0.685764;2.097134;0.262378;1.309112;-1.522615;0.239915
115;6.92387;0.000000;0.687952;2.097792;0.263137;1.310945;-1.535051;0.243524
116;6.98395;0.000000;0.690375;2.098420;0.264014;1.312551;-1.548132;0.246587
117;7.04393;0.000000;0.692685;2.099085;0.264944;1.314173;-1.560757;0.250015
118;7.10396;0.000000;0.694933;2.099693;0.265935;1.315598;-1.573742;0.252975
119;7.16396;0.000000;0.697122;2.100306;0.266962;1.316962;-1.586579;0.255975
120;7.22397;0.000000;0.699287;2.100899;0.268089;1.318306;-1.599245;0.259304
121;7.28394;0.000000;0.701362;2.101449;0.269217;1.319476;-1.612071;0.262231
122;7.344;0.000000;0.703443;2.101979;0.270393;1.320521;-1.625080;0.264900
123;7.40397;0.000000;0.705482;2.102505;0.271650;1.321566;-1.637769;0.267950
124;7.46396;0.000000;0.707411;2.102972;0.272945;1.322463;-1.650610;0.270591
125;7.52401;0.000000;0.709338;2.103456;0.274249;1.323273;-1.663623;0.273300
126;7.58396;0.000000;0.711255;2.103920;0.275596;1.324033;-1.676376;0.276193
127;7.64397;0.000000;0.713083;2.104324;0.276954;1.324680;-1.689137;0.278805
128;7.70396;0.000000;0.714865;2.104705;0.278392;1.325278;-1.702183;0.280946
129;7.76595;0.000000;0.716579;2.105081;0.279836;1.325937;-1.714670;0.283522
130;7.82596;0.000000;0.718342;2.105459;0.281351;1.326519;-1.727532;0.285797
131;7.89194;0.000000;0.719920;2.105767;0.282774;1.326795;-1.740095;0.288083
132;7.95198;0.000000;0.721612;2.106044;0.284345;1.326911;-1.753332;0.290688
133;8.01194;0.000000;0.723169;2.106339;0.285853;1.326985;-1.765904;0.293376
134;8.07192;0.000000;0.724717;2.106571;0.287397;1.326956;-1.779173;0.295394
135;8.13197;0.000000;0.726236;2.106836;0.288927;1.326918;-1.792185;0.297345
136;8.19196;0.000000;0.727703;2.107038;0.290465;1.326792;-1.804804;0.299796
137;8.25194;0.000000;0.729137;2.107232;0.292100;1.326588;-1.817940;0.301586
138;8.31193;0.000000;0.730491;2.107387;0.293838;1.326329;-1.830673;0.303773
139;8.37187;0.000000;0.731847;2.107519;0.295567;1.326006;-1.843471;0.305737
140;8.43192;0.000000;0.733159;2.107627;0.297310;1.325611;-1.856339;0.307675
141;8.49192;0.000000;0.734416;2.107710;0.299004;1.325128;-1.869096;0.309496
142;8.5519;0.000000;0.735650;2.107786;0.300684;1.324604;-1.882153;0.310985
143;8.61197;0.000000;0.736836;2.107846;0.302351;1.324018;-1.894851;0.312907
144;8.6719;0.000000;0.738030;2.107890;0.304049;1.323329;-1.907787;0.314394
145;8.73197;0.000000;0.739187;2.107910;0.305799;1.322609;-1.920692;0.315868
146;8.79197;0.000000;0.740292;2.107921;0.307462;1.321829;-1.933232;0.317619
147;8.85199;0.000000;0.741363;2.107924;0.309182;1.320989;-1.946116;0.319067
148;8.91195;0.000000;0.742361;2.107927;0.310871;1.320127;-1.958820;0.320568
149;8.97198;0.000000;0.743361;2.107922;0.312568;1.319217;-1.971708;0.321726
150;9.03195;0.000000;0.744365;2.107909;0.314278;1.318264;-1.984362;0.323044
151;9.09195;0.000000;0.745310;2.107847;0.315942;1.317197;-1.997044;0.324262
152;9.15192;0.000000;0.746233;2.107735;0.317665;1.316010;-2.009850;0.325364
153;9.21199;0.000000;0.747117;2.107565;0.319367;1.314690;-2.022625;0.326337
154;9.27194;0.000000;0.747997;2.107371;0.321067;1.313323;-2.035473;0.327319
155;9.33199;0.000000;0.748882;2.107192;0.322741;1.311930;-2.048323;0.328124
156;9.39199;0.000000;0.749721;2.106989;0.324405;1.310414;-2.060871;0.329341
157;9.452;0.000000;0.750538;2.106793;0.326095;1.308869;-2.073709;0.329981
158;9.51195;0.000000;0.751318;2.106605;0.327773;1.307319;-2.086490;0.330621
159;9.57196;0.000000;0.752073;2.106400;0.329446;1.305708;-2.099181;0.331369
160;9.63196;0.000000;0.752812;2.106195;0.331113;1.304039;-2.111984;0.331773
161;9.69394;0.000000;0.753533;2.105998;0.332721;1.302312;-2.124470;0.332518
162;9.75394;0.000000;0.754236;2.105783;0.334376;1.300600;-2.137215;0.332837
163;9.81399;0.000000;0.754918;2.105560;0.336014;1.298792;-2.149978;0.333085
