message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
115;6.996;0.000000;0.687844;2.097770;0.263075;1.310859;-1.534913;0.243095
116;7.05604;0.000000;0.690363;2.098421;0.264019;1.312530;-1.548195;0.246516
117;7.12799;0.000000;0.692573;2.099071;0.264848;1.314125;-1.560312;0.249525
118;7.18802;0.000000;0.694965;2.099685;0.265954;1.315570;-1.573970;0.252716
119;7.24802;0.000000;0.697103;2.100306;0.266953;1.316993;-1.586404;0.256047
120;7.30803;0.000000;0.699273;2.100876;0.268110;1.318308;-1.599217;0.259277
121;7.36799;0.000000;0.701382;2.101449;0.269212;1.319514;-1.611979;0.262310
122;7.428;0.000000;0.703444;2.101972;0.270408;1.320531;-1.625037;0.264884
123;7.488;0.000000;0.705448;2.102505;0.271632;1.321589;-1.637716;0.267905
124;7.548;0.000000;0.707409;2.102980;0.272925;1.322501;-1.650542;0.270609
125;7.60801;0.000000;0.709326;2.103449;0.274227;1.323305;-1.663629;0.273230
126;7.66802;0.000000;0.711244;2.103920;0.275605;1.324077;-1.676304;0.276164
127;7.72799;0.000000;0.713068;2.104324;0.276974;1.324716;-1.689010;0.278889
128;7.78802;0.000000;0.714857;2.104705;0.278410;1.325308;-1.702132;0.280968
129;7.84799;0.000000;0.716595;2.105097;0.279873;1.325999;-1.714612;0.283625
130;7.90801;0.000000;0.718339;2.105459;0.281375;1.326536;-1.727455;0.285893
131;7.96801;0.000000;0.719982;2.105783;0.282855;1.326835;-1.740348;0.288096
132;8.02802;0.000000;0.721593;2.106044;0.284366;1.326948;-1.753030;0.290980
133;8.08801;0.000000;0.723162;2.106331;0.285888;1.327000;-1.765987;0.293276
134;8.14801;0.000000;0.724727;2.106587;0.287424;1.326994;-1.779098;0.295417
135;8.20798;0.000000;0.726265;2.106836;0.288952;1.326928;-1.792164;0.297360
136;8.26803;0.000000;0.727698;2.107030;0.290466;1.326814;-1.804687;0.299850
137;8.32801;0.000000;0.729109;2.107224;0.292044;1.326608;-1.817885;0.301596
138;8.388;0.000000;0.730495;2.107379;0.293786;1.326355;-1.830726;0.303649
139;8.448;0.000000;0.731839;2.107511;0.295536;1.326028;-1.843413;0.305778
140;8.50801;0.000000;0.733176;2.107619;0.297271;1.325622;-1.856254;0.307725
141;8.56801;0.000000;0.734431;2.107710;0.298979;1.325128;-1.869072;0.309508
142;8.62802;0.000000;0.735673;2.107795;0.300671;1.324613;-1.882123;0.311002
143;8.68798;0.000000;0.736880;2.107854;0.302362;1.324038;-1.894898;0.312861
144;8.74797;0.000000;0.738051;2.107890;0.304062;1.323359;-1.907764;0.314378
145;8.80798;0.000000;0.739194;2.107910;0.305769;1.322630;-1.920649;0.315900
146;8.868;0.000000;0.740249;2.107921;0.307435;1.321836;-1.933336;0.317412
147;8.928;0.000000;0.741321;2.107924;0.309208;1.320999;-1.945964;0.319268
148;8.98801;0.000000;0.742371;2.107927;0.310886;1.320156;-1.958776;0.320534
149;9.04801;0.000000;0.743389;2.107922;0.312567;1.319237;-1.971615;0.321814
150;9.10802;0.000000;0.744331;2.107909;0.314263;1.318273;-1.984371;0.322986
151;9.16798;0.000000;0.745265;2.107847;0.315946;1.317217;-1.997001;0.324295
152;9.22803;0.000000;0.746217;2.107727;0.317652;1.316037;-2.009741;0.325400
153;9.28806;0.000000;0.747134;2.107574;0.319386;1.314731;-2.022569;0.326371
154;9.348;0.000000;0.748010;2.107379;0.321058;1.313356;-2.035461;0.327322
155;9.408;0.000000;0.748864;2.107184;0.322737;1.311908;-2.048356;0.328041
156;9.46801;0.000000;0.749720;2.106989;0.324421;1.310431;-2.060753;0.329478
157;9.52802;0.000000;0.750539;2.106785;0.326061;1.308888;-2.073658;0.329967
158;9.58798;0.000000;0.751330;2.106605;0.327768;1.307330;-2.086482;0.330617
159;9.64797;0.000000;0.752088;2.106408;0.329454;1.305717;-2.099155;0.331356
160;9.70794;0.000000;0.752824;2.106187;0.331108;1.304040;-2.111995;0.331741
161;9.76799;0.000000;0.753547;2.105998;0.332731;1.302325;-2.124470;0.332553
162;9.828;0.000000;0.754243;2.105783;0.334362;1.300611;-2.137210;0.332801
163;9.888;0.000000;0.754929;2.105560;0.336006;1.298795;-2.149856;0.333253
164;9.94801;0.000000;0.755602;2.105337;0.337609;1.296946;-2.162451;0.333663
165;10.008;0.000000;0.756256;2.105064;0.339214;1.295001;-2.175210;0.333784
166;10.068;0.000000;0.756890;2.104807;0.340938;1.292964;-2.187540;0.334428
167;10.1279;0.000000;0.757511;2.104524;0.342547;1.290926;-2.200346;0.334202
168;10.188;0.000000;0.758109;2.104266;0.344124;1.288865;-2.212840;0.334346
169;10.248;0.000000;0.758692;2.104000;0.345637;1.286703;-2.225363;0.334424
170;10.308;0.000000;0.759265;2.103725;0.347241;1.284555;-2.238091;0.334095
171;10.368;0.000000;0.759827;2.103433;0.348868;1.282301;-2.250565;0.334137
172;10.428;0.000000;0.760368;2.103132;0.350459;1.280000;-2.263138;0.333874
173;10.488;0.000000;0.760895;2.102830;0.351989;1.277676;-2.275693;0.333389
174;10.548;0.000000;0.761402;2.102520;0.353578;1.275244;-2.288028;0.333311
175;10.608;0.000000;0.761903;2.102227;0.355137;1.272902;-2.300657;0.332586
176;10.668;0.000000;0.762383;2.101925;0.356657;1.270408;-2.313049;0.332244
177;10.728;0.000000;0.762853;2.101597;0.358126;1.267800;-2.325327;0.332079
178;10.788;0.000000;0.763310;2.101261;0.359667;1.265247;-2.337886;0.331157
179;10.848;0.000000;0.763755;2.100933;0.361200;1.262648;-2.350361;0.330300
180;10.908;0.000000;0.764190;2.100613;0.362669;1.259980;-2.362688;0.329655
181;10.974;0.000000;0.764600;2.100301;0.364098;1.257260;-2.374816;0.328738
182;11.034;0.000000;0.765028;2.099963;0.365676;1.254531;-2.387581;0.327633
183;11.094;0.000000;0.765422;2.099634;0.367171;1.251731;-2.399654;0.326990
184;11.154;0.000000;0.765805;2.099271;0.368638;1.248858;-2.412107;0.325788
185;11.218;0.000000;0.766178;2.098942;0.370055;1.246056;-2.424534;0.324113
186;11.278;0.000000;0.766554;2.098586;0.371481;1.243039;-2.436730;0.323365
187;11.338;0.000000;0.766915;2.098256;0.372909;1.240129;-2.448952;0.322049
188;11.398;0.000000;0.767265;2.097901;0.374365;1.237119;-2.461290;0.320475
189;11.458;0.000000;0.767611;2.097553;0.375825;1.234096;-2.473364;0.319279
190;11.518;0.000000;0.767947;2.097189;0.377215;1.230896;-2.485377;0.318086
191;11.578;0.000000;0.768299;2.096849;0.378617;1.227870;-2.497855;0.315990
192;11.638;0.000000;0.768611;2.096518;0.380005;1.224683;-2.510061;0.314264
193;11.698;0.000000;0.768905;2.096161;0.381375;1.221496;-2.522077;0.312756
194;11.758;0.000000;0.769189;2.095788;0.382746;1.218263;-2.534107;0.310923
195;11.826;0.000000;0.769471;2.095456;0.384148;1.215103;-2.546093;0.308595
196;11.886;0.000000;0.769771;2.095124;0.385592;1.211857;-2.558423;0.306721
197;11.946;0.000000;0.770032;2.094784;0.386921;1.208577;-2.570220;0.304903
198;12.006;0.000000;0.770289;2.094427;0.388248;1.205109;-2.582379;0.302604
199;12.066;0.000000;0.770549;2.094095;0.389584;1.201735;-2.594594;0.299987
200;12.1259;0.000000;0.770781;2.093729;0.390903;1.198182;-2.606381;0.298170
201;12.1859;0.000000;0.771011;2.093380;0.392212;1.194729;-2.618300;0.295705
202;12.2459;0.000000;0.771243;2.093064;0.393526;1.191273;-2.630193;0.293186
203;12.306;0.000000;0.771469;2.092723;0.394854;1.187733;-2.642228;0.290597
204;12.3659;0.000000;0.771669;2.092366;0.396153;1.184078;-2.653865;0.288438
205;12.4259;0.000000;0.771881;2.092033;0.397449;1.180537;-2.665741;0.285569
206;12.4859;0.000000;0.772086;2.091709;0.398756;1.176983;-2.677790;0.282360
207;12.546;0.000000;0.772254;2.091368;0.400040;1.173267;-2.689463;0.279694
208;12.606;0.000000;0.772434;2.091044;0.401323;1.169602;-2.701125;0.276850
209;12.666;0.000000;0.772642;2.090702;0.402615;1.165792;-2.712934;0.273816
210;12.726;0.000000;0.772837;2.090369;0.403901;1.162134;-2.724656;0.270569
211;12.786;0.000000;0.772976;2.090028;0.405172;1.158314;-2.736277;0.267404
212;12.846;0.000000;0.773118;2.089729;0.406470;1.154623;-2.748011;0.264104
213;12.906;0.000000;0.773272;2.089430;0.407709;1.150713;-2.759465;0.260774
214;12.966;0.000000;0.773395;2.089107;0.408919;1.146718;-2.770718;0.257329
215;13.026;0.000000;0.773484;2.088783;0.410092;1.142439;-2.781648;0.254278
216;13.086;0.000000;0.773617;2.088467;0.411211;1.138113;-2.792090;0.251570
217;13.16;0.000000;0.773779;2.088159;0.412291;1.133727;-2.802415;0.248256
218;13.22;0.000000;0.773907;2.087826;0.413422;1.129358;-2.812963;0.245136
219;13.28;0.000000;0.773998;2.087553;0.414457;1.124718;-2.822825;0.242242
220;13.34;0.000000;0.774108;2.087237;0.415615;1.119920;-2.832722;0.239325
221;13.4;0.000000;0.774219;2.086947;0.416956;1.115046;-2.842364;0.236495
222;13.46;0.000000;0.774314;2.086640;0.418135;1.110030;-2.851770;0.233497
223;13.52;0.000000;0.774384;2.086359;0.419282;1.104907;-2.861015;0.230612
224;13.58;0.000000;0.774458;2.086086;0.420320;1.099840;-2.870045;0.227668
225;13.6399;0.000000;0.774545;2.085812;0.421464;1.094592;-2.878788;0.225021
226;13.6999;0.000000;0.774631;2.085514;0.422576;1.089282;-2.887320;0.222433
227;13.7699;0.000000;0.774702;2.085249;0.423562;1.084021;-2.895649;0.219514
228;13.8299;0.000000;0.774789;2.084950;0.424635;1.078555;-2.903998;0.216993
229;13.89;0.000000;0.774858;2.084686;0.425601;1.073016;-2.912107;0.214302
230;13.95;0.000000;0.774920;2.084438;0.426639;1.067453;-2.920151;0.211498
231;14.01;0.000000;0.774977;2.084199;0.427603;1.061868;-2.927807;0.208908
232;14.07;0.000000;0.775047;2.083951;0.428571;1.056200;-2.935376;0.206287
233;14.13;0.000000;0.775136;2.083669;0.429476;1.050360;-2.942656;0.204058
234;14.19;0.000000;0.775189;2.083413;0.430377;1.044541;-2.949920;0.201697
235;14.25;0.000000;0.775242;2.083165;0.431282;1.038774;-2.957035;0.198954
236;14.31;0.000000;0.775298;2.082926;0.432171;-1.030695;2.957601;-0.196013
237;14.37;0.000000;0.775357;2.082704;0.433036;-1.022068;2.956315;-0.193077
