message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
131;7.97995;0.000000;0.720016;2.105775;0.282874;1.326740;-1.740718;0.288043
132;8.03993;0.000000;0.721623;2.106044;0.284403;1.326852;-1.753505;0.290768
133;8.09991;0.000000;0.723201;2.106323;0.285927;1.326910;-1.766429;0.293121
134;8.15992;0.000000;0.724746;2.106571;0.287459;1.326908;-1.779667;0.294972
135;8.21992;0.000000;0.726297;2.106820;0.288982;1.326869;-1.792416;0.297389
136;8.27994;0.000000;0.727715;2.107022;0.290503;1.326739;-1.805171;0.299567
137;8.37318;0.000000;0.729018;2.107208;0.292024;1.326473;-1.818074;0.300624
138;8.4387;0.000000;0.730460;2.107363;0.293800;1.326223;-1.831356;0.302628
139;8.50191;0.000000;0.731784;2.107503;0.295485;1.325930;-1.843399;0.305324
140;8.5619;0.000000;0.733191;2.107603;0.297308;1.325557;-1.857007;0.307135
141;8.62593;0.000000;0.734430;2.107727;0.298961;1.325124;-1.869381;0.309039
142;8.69716;0.000000;0.735661;2.107778;0.300694;1.324589;-1.882565;0.310736
143;8.7539;0.000000;0.736843;2.107846;0.302320;1.323973;-1.894949;0.312560
144;8.81392;0.000000;0.738043;2.107874;0.304092;1.323294;-1.908371;0.313918
145;8.88797;0.000000;0.739148;2.107918;0.305724;1.322560;-1.920621;0.315383
146;8.94798;0.000000;0.740271;2.107929;0.307498;1.321827;-1.933864;0.317047
147;9.00805;0.000000;0.741337;2.107932;0.309192;1.320997;-1.946277;0.319049
148;9.0679;0.000000;0.742360;2.107936;0.310870;1.320145;-1.959067;0.320393
149;9.12796;0.000000;0.743377;2.107931;0.312576;1.319230;-1.972218;0.321244
150;9.18792;0.000000;0.744378;2.107909;0.314294;1.318255;-1.984691;0.322825
151;9.24806;0.000000;0.745344;2.107839;0.315955;1.317179;-1.997268;0.324242
152;9.30795;0.000000;0.746275;2.107710;0.317706;1.315983;-2.010215;0.325080
153;9.3739;0.000000;0.747137;2.107533;0.319360;1.314628;-2.022903;0.325833
154;9.4339;0.000000;0.748038;2.107346;0.321111;1.313279;-2.036130;0.326779
155;9.49395;0.000000;0.748882;2.107176;0.322775;1.311861;-2.048639;0.327998
156;9.55392;0.000000;0.749718;2.106981;0.324441;1.310390;-2.061221;0.329125
157;9.61412;0.000000;0.750548;2.106793;0.326128;1.308858;-2.074076;0.329755
158;9.67394;0.000000;0.751341;2.106605;0.327779;1.307289;-2.086917;0.330274
159;9.73394;0.000000;0.752101;2.106408;0.329481;1.305689;-2.099601;0.331024
160;9.79395;0.000000;0.752838;2.106203;0.331123;1.304023;-2.112181;0.331843
161;9.85396;0.000000;0.753556;2.105998;0.332758;1.302325;-2.124951;0.332118
162;9.91399;0.000000;0.754260;2.105783;0.334383;1.300562;-2.137631;0.332540
163;9.97393;0.000000;0.754952;2.105560;0.336030;1.298770;-2.150292;0.332873
164;10.0339;0.000000;0.755623;2.105329;0.337697;1.296927;-2.162931;0.333244
165;10.0992;0.000000;0.756268;2.105056;0.339275;1.294946;-2.175526;0.333660
166;10.156;0.000000;0.756899;2.104807;0.340923;1.292945;-2.188002;0.333964
167;10.216;0.000000;0.757543;2.104516;0.342566;1.290894;-2.200776;0.333905
168;10.2759;0.000000;0.758148;2.104258;0.344127;1.288824;-2.213296;0.333965
169;10.3359;0.000000;0.758728;2.104008;0.345706;1.286680;-2.225755;0.334141
170;10.3959;0.000000;0.759294;2.103725;0.347308;1.284540;-2.238417;0.333956
171;10.478;0.000000;0.759839;2.103457;0.348806;1.282302;-2.250754;0.333426
172;10.5379;0.000000;0.760395;2.103115;0.350465;1.280032;-2.263538;0.333347
173;10.6005;0.000000;0.760911;2.102839;0.352015;1.277723;-2.276113;0.332864
174;10.6579;0.000000;0.761415;2.102520;0.353578;1.275254;-2.288331;0.333085
175;10.7179;0.000000;0.761910;2.102227;0.355146;1.272884;-2.301036;0.332381
176;10.7779;0.000000;0.762381;2.101916;0.356613;1.270384;-2.313373;0.331987
177;10.8379;0.000000;0.762845;2.101606;0.358162;1.267819;-2.325679;0.331761
178;10.8979;0.000000;0.763296;2.101269;0.359710;1.265248;-2.338296;0.330846
179;10.9578;0.000000;0.763733;2.100933;0.361169;1.262630;-2.350814;0.329840
180;11.0178;0.000000;0.764166;2.100621;0.362703;1.259949;-2.363145;0.329269
181;11.0779;0.000000;0.764589;2.100293;0.364203;1.257212;-2.375331;0.328625
182;11.138;0.000000;0.765018;2.099963;0.365701;1.254443;-2.387823;0.327638
183;11.198;0.000000;0.765426;2.099609;0.367222;1.251657;-2.400064;0.326669
184;11.2579;0.000000;0.765828;2.099263;0.368654;1.248836;-2.412581;0.325297
185;11.3178;0.000000;0.766200;2.098925;0.370060;1.245999;-2.424962;0.323917
186;11.378;0.000000;0.766562;2.098595;0.371520;1.243043;-2.437191;0.322874
187;11.4379;0.000000;0.766914;2.098265;0.372994;1.240118;-2.449318;0.321720
188;11.4981;0.000000;0.767279;2.097900;0.374410;1.237069;-2.461584;0.320351
189;11.558;0.000000;0.767629;2.097536;0.375805;1.234037;-2.473762;0.318948
190;11.6179;0.000000;0.767962;2.097188;0.377199;1.230927;-2.485878;0.317517
191;11.6779;0.000000;0.768304;2.096849;0.378639;1.227812;-2.498104;0.315895
192;11.7379;0.000000;0.768609;2.096509;0.380076;1.224672;-2.510545;0.313733
193;11.7979;0.000000;0.768907;2.096161;0.381488;1.221499;-2.522630;0.312076
194;11.8677;0.000000;0.769203;2.095804;0.382844;1.218268;-2.534449;0.310606
195;11.9299;0.000000;0.769490;2.095473;0.384178;1.215112;-2.546224;0.308497
196;11.99;0.000000;0.769792;2.095115;0.385588;1.211879;-2.558685;0.306508
197;12.0499;0.000000;0.770028;2.094792;0.386912;1.208595;-2.570675;0.304353
198;12.11;0.000000;0.770269;2.094427;0.388239;1.205116;-2.582774;0.302176
199;12.1699;0.000000;0.770540;2.094078;0.389569;1.201700;-2.594995;0.299580
200;12.2299;0.000000;0.770801;2.093720;0.390889;1.198155;-2.606753;0.297814
201;12.2899;0.000000;0.771039;2.093388;0.392210;1.194749;-2.618675;0.295297
202;12.3498;0.000000;0.771251;2.093064;0.393521;1.191254;-2.630525;0.292871
203;12.4098;0.000000;0.771460;2.092723;0.394871;1.187716;-2.642498;0.290375
204;12.4698;0.000000;0.771668;2.092383;0.396197;1.184100;-2.654228;0.287947
205;12.5299;0.000000;0.771877;2.092033;0.397509;1.180546;-2.666115;0.285183
206;12.5898;0.000000;0.772076;2.091700;0.398815;1.176954;-2.678122;0.281999
207;12.6499;0.000000;0.772257;2.091368;0.400106;1.173333;-2.689915;0.279059
208;12.7099;0.000000;0.772449;2.091044;0.401388;1.169650;-2.701501;0.276364
209;12.7698;0.000000;0.772653;2.090702;0.402680;1.165791;-2.713251;0.273519
210;12.8298;0.000000;0.772827;2.090369;0.403959;1.162116;-2.724969;0.270299
211;12.8898;0.000000;0.772974;2.090037;0.405228;1.158293;-2.736521;0.267260
212;12.9498;0.000000;0.773120;2.089729;0.406522;1.154612;-2.748341;0.263774
213;13.01;0.000000;0.773274;2.089430;0.407764;1.150734;-2.759837;0.260267
214;13.07;0.000000;0.773405;2.089106;0.408962;1.146720;-2.771016;0.256905
215;13.1298;0.000000;0.773522;2.088774;0.410140;1.142433;-2.781971;0.253867
216;13.1898;0.000000;0.773647;2.088458;0.411263;1.138105;-2.792401;0.251148
217;13.2498;0.000000;0.773769;2.088142;0.412379;1.133707;-2.802959;0.247961
218;13.3098;0.000000;0.773891;2.087843;0.413461;1.129286;-2.813238;0.244814
219;13.3718;0.000000;0.774006;2.087553;0.414477;1.124626;-2.823013;0.241921
220;13.432;0.000000;0.774096;2.087246;0.415575;1.119915;-2.833085;0.238757
221;13.4959;0.000000;0.774205;2.086956;0.416836;1.114997;-2.842406;0.236261
222;13.5559;0.000000;0.774293;2.086640;0.418100;1.109980;-2.851993;0.233210
223;13.6158;0.000000;0.774388;2.086359;0.419263;1.104821;-2.861174;0.230377
224;13.676;0.000000;0.774499;2.086076;0.420368;1.099769;-2.870238;0.227317
225;13.7359;0.000000;0.774582;2.085812;0.421491;1.094565;-2.879090;0.224289
226;13.7959;0.000000;0.774643;2.085522;0.422555;1.089268;-2.887520;0.221957
227;13.8558;0.000000;0.774722;2.085232;0.423638;1.083959;-2.895992;0.219121
228;13.9159;0.000000;0.774785;2.084959;0.424641;1.078458;-2.904166;0.216651
229;13.9758;0.000000;0.774850;2.084686;0.425628;1.072892;-2.912199;0.214152
230;14.036;0.000000;0.774921;2.084438;0.426656;1.067292;-2.920234;0.211332
231;14.0959;0.000000;0.775001;2.084190;0.427595;1.061710;-2.927859;0.208901
232;14.156;0.000000;0.775035;2.083952;0.428567;1.056035;-2.935447;0.206112
233;14.2244;0.000000;0.775111;2.083687;0.429469;1.050330;-2.942852;0.203533
234;14.2909;0.000000;0.775186;2.083421;0.430350;1.044531;-2.949900;0.201394
235;14.3459;0.000000;0.775235;2.083165;0.431282;1.038722;-2.957039;0.198584
236;14.4183;0.000000;0.775290;2.082926;0.432231;-1.030643;2.957616;-0.195648
237;14.4875;0.000000;0.775335;2.082730;0.433007;-1.022116;2.956459;-0.192864
238;14.5459;0.000000;0.775372;2.082491;0.433839;-1.013584;2.955098;-0.190025
239;14.6059;0.000000;0.775446;2.082294;0.434665;-1.004936;2.953889;-0.186965
240;14.666;0.000000;0.775522;2.082062;0.435497;-0.996396;2.952753;-0.184293
241;14.726;0.000000;0.775557;2.081841;0.436275;-0.987915;2.951697;-0.181349
242;14.7859;0.000000;0.775625;2.081618;0.437065;-0.979541;2.950843;-0.178926
243;14.8459;0.000000;0.775705;2.081412;0.437784;-0.971236;2.949926;-0.176203
244;14.9059;0.000000;0.775736;2.081207;0.438505;-0.963053;2.949164;-0.173924
245;14.9659;0.000000;0.775796;2.081027;0.439194;-0.954933;2.948406;-0.171184
246;15.0336;0.000000;0.775846;2.080838;0.439911;-0.946860;2.947607;-0.168500
247;15.0899;0.000000;0.775869;2.080668;0.440600;-0.938997;2.947014;-0.166097
248;15.1499;0.000000;0.775924;2.080504;0.441216;-0.931076;2.946313;-0.163434
249;15.2099;0.000000;0.776010;2.080340;0.441867;-0.923268;2.945879;-0.161233
250;15.2699;0.000000;0.776049;2.080161;0.442515;-0.915542;2.945374;-0.158810
251;15.3299;0.000000;0.776106;2.079997;0.443104;-0.907846;2.944970;-0.156478
252;15.3899;0.000000;0.776187;2.079842;0.443685;-0.900231;2.944543;-0.154128
253;15.4498;0.000000;0.776228;2.079688;0.444281;-0.892694;2.944281;-0.152065
254;15.5099;0.000000;0.776278;2.079524;0.444820;-0.885203;2.943991;-0.149670
255;15.5699;0.000000;0.776374;2.079394;0.445317;-0.877778;2.943736;-0.147424
256;15.6394;0.000000;0.776417;2.079273;0.445847;-0.870388;2.943543;-0.145193
257;15.6963;0.000000;0.776441;2.079154;0.446362;-0.863162;2.943421;-0.143224
258;15.7613;0.000000;0.776522;2.079032;0.446867;-0.855901;2.943316;-0.140975
259;15.83;0.000000;0.776566;2.078920;0.447315;-0.848684;2.943473;-0.139300
260;15.8899;0.000000;0.776596;2.078808;0.447810;-0.841525;2.943211;-0.136723
261;15.9499;0.000000;0.776687;2.078703;0.448189;-0.834438;2.943409;-0.134922
262;16.0147;0.000000;0.776770;2.078599;0.448665;-0.827393;2.943380;-0.132914
263;16.0699;0.000000;0.776801;2.078487;0.449119;-0.820442;2.943503;-0.130916
264;16.13;0.000000;0.776863;2.078383;0.449447;-0.813466;2.943595;-0.128757
265;16.19;0.000000;0.776929;2.078295;0.449824;-0.806525;2.943767;-0.126802
266;16.2499;0.000000;0.776980;2.078226;0.450317;-0.799666;2.943986;-0.124999
267;16.3099;0.000000;0.777037;2.078147;0.450636;-0.792957;2.944231;-0.123004
268;16.3699;0.000000;0.777105;2.078060;0.450960;-0.786218;2.944423;-0.120862
269;16.4299;0.000000;0.777160;2.077990;0.451282;-0.779555;2.944729;-0.118942
270;16.4898;0.000000;0.777224;2.077920;0.451579;-0.772930;2.945128;-0.117226
271;16.5498;0.000000;0.777310;2.077849;0.451970;-0.766358;2.945474;-0.115647
272;16.6099;0.000000;0.777365;2.077796;0.452194;-0.759910;2.945911;-0.113915
273;16.6698;0.000000;0.777414;2.077743;0.452474;-0.753513;2.946290;-0.112033
274;16.7299;0.000000;0.777478;2.077690;0.452840;-0.747049;2.946618;-0.110037
275;16.79;0.000000;0.777548;2.077654;0.453077;-0.740752;2.947136;-0.108392
276;16.8498;0.000000;0.777587;2.077610;0.453320;-0.734420;2.947597;-0.106636
