message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
172;10.3821;0.000000;0.760321;2.103132;0.350452;1.279981;-2.263317;0.333677
173;10.4439;0.000000;0.760850;2.102831;0.352021;1.277690;-2.275941;0.332914
174;10.504;0.000000;0.761375;2.102512;0.353592;1.275224;-2.288183;0.333258
175;10.564;0.000000;0.761883;2.102219;0.355146;1.272866;-2.300782;0.332608
176;10.624;0.000000;0.762376;2.101916;0.356674;1.270390;-2.313320;0.332013
177;10.6839;0.000000;0.762852;2.101606;0.358152;1.267821;-2.325589;0.331859
178;10.7439;0.000000;0.763311;2.101269;0.359689;1.265251;-2.338016;0.331133
179;10.8039;0.000000;0.763754;2.100941;0.361175;1.262634;-2.350653;0.329956
180;10.8639;0.000000;0.764187;2.100621;0.362708;1.259946;-2.362934;0.329475
181;10.9239;0.000000;0.764606;2.100309;0.364192;1.257256;-2.375173;0.328723
182;10.9839;0.000000;0.765027;2.099963;0.365699;1.254466;-2.387702;0.327648
183;11.0439;0.000000;0.765427;2.099609;0.367183;1.251662;-2.399911;0.326822
184;11.104;0.000000;0.765817;2.099271;0.368670;1.248840;-2.412343;0.325559
185;11.1639;0.000000;0.766196;2.098933;0.370086;1.246008;-2.424762;0.324074
186;11.224;0.000000;0.766595;2.098603;0.371496;1.243046;-2.436954;0.323139
187;11.2919;0.000000;0.766953;2.098264;0.372869;1.240090;-2.448883;0.321849
188;11.3519;0.000000;0.767316;2.097892;0.374397;1.237134;-2.461546;0.320297
189;11.4119;0.000000;0.767635;2.097544;0.375811;1.234062;-2.473577;0.319124
190;11.472;0.000000;0.767952;2.097188;0.377208;1.230938;-2.485698;0.317725
191;11.5319;0.000000;0.768276;2.096866;0.378631;1.227871;-2.497955;0.315938
192;11.592;0.000000;0.768603;2.096526;0.380057;1.224693;-2.510277;0.314057
193;11.654;0.000000;0.768900;2.096178;0.381458;1.221542;-2.522392;0.312255
194;11.7141;0.000000;0.769192;2.095788;0.382826;1.218223;-2.534286;0.310810
195;11.7739;0.000000;0.769496;2.095439;0.384185;1.215049;-2.546369;0.308758
196;11.8339;0.000000;0.769781;2.095116;0.385548;1.211813;-2.558503;0.306735
197;11.8939;0.000000;0.770032;2.094784;0.386898;1.208563;-2.570592;0.304522
198;11.954;0.000000;0.770279;2.094427;0.388234;1.205097;-2.582678;0.302236
199;12.0139;0.000000;0.770530;2.094078;0.389583;1.201665;-2.594760;0.299881
