message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
22;1.32188;0.994956;0.026342;0.998380;0.050425;0.783154;0.984125;-0.034757;0.174042;2.060290;0.175513;0.045040;-0.983446;0.186191;0.025392;0.998207;0.054206;0.783139;0.980721;-0.035384;0.192183;2.059428;0.193756;0.048281;-0.979861;0.186050;-0.013351;0.000000;-0.000000;0.001103;0.000000;0.000000;-0.048643;0.271628;0.000000;-0.046587;0.194498;0.000000;
23;1.38174;0.992979;0.025515;0.998223;0.053848;0.783134;0.981133;-0.035331;0.190080;2.059550;0.191645;0.047982;-0.980291;0.186086;0.024523;0.998047;0.057450;0.783118;0.977609;-0.035955;0.207337;2.058646;0.208997;0.051079;-0.976581;0.185895;-0.013286;0.000000;-0.000000;0.001095;0.000000;0.000000;-0.047681;0.259667;0.000000;0.016044;-0.199355;-0.000000;
24;1.44183;0.987792;0.024627;0.998062;0.057140;0.783134;0.978002;-0.035896;0.205485;2.058762;0.207138;0.050823;-0.976991;0.185920;0.023645;0.997883;0.060583;0.783099;0.974420;-0.036552;0.221744;2.057871;0.223489;0.053790;-0.973221;0.185729;-0.013221;0.000000;-0.000000;0.001086;0.000000;0.000000;-0.046342;0.247742;0.000000;0.022309;-0.198752;-0.000000;
25;1.50187;0.995851;0.023793;0.997894;0.060336;0.783131;0.974807;-0.036546;0.220037;2.057957;0.221779;0.053581;-0.973624;0.185792;0.022767;0.997715;0.063610;0.783080;0.971186;-0.037170;0.235408;2.057102;0.237235;0.056417;-0.969813;0.185553;-0.013156;0.000000;-0.000000;0.001077;0.000000;0.000000;-0.045073;0.235809;0.000000;0.021152;-0.198878;-0.000000;
26;1.56175;0.993206;0.022843;0.997731;0.063336;0.783113;0.971592;-0.037083;0.233737;2.057204;0.235555;0.056197;-0.970235;0.185584;0.021893;0.997545;0.066518;0.783062;0.967936;-0.037802;0.248336;2.056339;0.250241;0.058949;-0.966387;0.185367;-0.013092;0.000000;-0.000000;0.001068;0.000000;0.000000;-0.043577;0.223903;0.000000;0.024929;-0.198440;-0.000000;
27;1.6218;0.993206;0.022000;0.997558;0.066294;0.783098;0.968313;-0.037761;0.246870;2.056454;0.248770;0.058762;-0.966778;0.185393;0.021029;0.997374;0.069310;0.783045;0.964700;-0.038445;0.260531;2.055582;0.262511;0.061384;-0.962974;0.185171;-0.013028;0.000000;-0.000000;0.001060;0.000000;0.000000;-0.042081;0.211996;0.000000;0.024929;-0.198440;-0.000000;
28;1.68177;0.996606;0.021194;0.997385;0.069092;0.783089;0.965064;-0.038461;0.259178;2.055717;0.261157;0.061186;-0.963355;0.185167;0.020181;0.997202;0.071981;0.783029;0.961503;-0.039092;0.272000;2.054832;0.274053;0.063721;-0.959601;0.184967;-0.012965;0.000000;-0.000000;0.001051;-0.000000;0.000000;-0.040508;0.200100;0.000000;0.026216;-0.198274;-0.000000;
29;1.74167;0.993913;0.020318;0.997212;0.071795;0.783075;0.961859;-0.039089;0.270737;2.054938;0.272788;0.063556;-0.959972;0.184987;0.019353;0.997031;0.074524;0.783013;0.958370;-0.039737;0.282749;2.054088;0.284871;0.065950;-0.956294;0.184755;-0.012903;0.000000;-0.000000;0.001042;0.000000;0.000000;-0.038780;0.188225;0.000000;0.028806;-0.197915;-0.000000;
30;1.80181;0.993913;0.019443;0.997038;0.074408;0.783057;0.958706;-0.039712;0.281614;2.054235;0.283735;0.065860;-0.956638;0.184780;0.018552;0.996863;0.076941;0.782998;0.955325;-0.040377;0.292785;2.053349;0.294973;0.068072;-0.953078;0.184535;-0.012841;0.000000;-0.000000;0.001034;0.000000;0.000000;-0.037052;0.176350;0.000000;0.028806;-0.197915;-0.000000;
31;1.8617;0.993913;0.018542;0.996860;0.076987;0.783074;0.955567;-0.040325;0.292003;2.053560;0.294190;0.068152;-0.953314;0.184632;0.017760;0.996694;0.079278;0.782984;0.952307;-0.041020;0.302372;2.052617;0.304624;0.070127;-0.949887;0.184309;-0.012779;0.000000;-0.000000;0.001026;0.000000;0.000000;-0.035990;0.169057;0.000000;0.017692;-0.121553;-0.000000;
